id,title,overview,genres,keywords,cast,director,runtime,release_date,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language
950028,The Invite,"Joe and Angela's marriage is on thin ice. When they invite their enigmatic upstairs neighbors for a dinner party, the night spirals into unexpected places. Have they reignited the spark or lit the match that burns it all down?","['Comedy', 'Drama', 'Romance']","['husband wife relationship', 'san francisco, california', 'remake', 'firefighter', 'sexologist', 'anxious', 'neighbors']","['Seth Rogen', 'Olivia Wilde', 'Penélope Cruz', 'Edward Norton', 'Skip Howland', 'Mel Powell', 'Rachel Thurow', 'Mario Valdez']",['Olivia Wilde'],107,2026-06-25,7.439,173,100.8765,/b7Dr8Chzse8VagexAporUu2RtLx.jpg,/lEwqBGNR65KZv6Ej5ufcmhZu2y2.jpg,en
1404304,The Isolate Thief,A young woman struggles to conceal the gold she stole from a group of violent outlaws who have seized control of her remote outpost.,"['Western', 'Action', 'Drama']",[],"['Mackenzie Foy', 'Odeya Rush', 'Sean Bean', 'Joe Pantoliano', 'Jack Kesy', 'Ty Simpkins', 'Martin Sensmeier', 'Bryan Martin', 'Philip McDermott Young', 'Mark Alan Jaeger']",['John Suits'],95,2026-07-10,7.4,15,98.9018,/gmmCh2BvTKp0YGT2FYG0eOQJELi.jpg,/mwqxKmbW6ssqa5CKHrgocqbkL0C.jpg,en
936075,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.","['Music', 'Drama']","['child abuse', 'sibling relationship', '1970s', 'abusive father', 'ambition', 'biography', 'based on true story', 'singer', 'period drama', 'music history', 'price of fame', 'singer-songwriter', 'rise to fame', '1980s', '1960s', 'music', 'biographical drama', 'music drama', 'biopic']","['Jaafar Jackson', 'Colman Domingo', 'Nia Long', 'Juliano Krue Valdi', 'KeiLyn Durrel Jones', 'Miles Teller', 'Larenz Tate', 'Laura Harrier', 'Mike Myers', 'Kendrick Sampson']",['Antoine Fuqua'],128,2026-04-22,8.685,3983,92.8659,/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,/ufSwlnECLoUbBjPrFqEQcWBzHwc.jpg,en
1698856,Master of the Universe,"A young man must use his untapped powers to fight back against an evil alien and their army, who will stop at nothing to take over Earth and then the universe.","['Science Fiction', 'Action', 'Fantasy']","['based on toy', 'mockbuster', 'bewildered']","['Matthew Gademske', 'Morgan Flanagan', 'Krymis J Fernando', 'Antonio Valles', 'Telisha Johnson', 'Llana Barron', ""Jim O'Brien"", 'Bryan Barron', 'Bryan J Mangam', 'Leo Christopher Sheridan']",['Marcel Walz'],81,2026-05-22,4.831,59,84.1368,/a77OcLmarwiBJakOPPC36m58t4L.jpg,/uOQtyMV2G9yJvc0s14zmLoRC5H9.jpg,en
1523145,Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",['Romance'],['based on novel or book'],"['Daniel Vegas', 'Veronika Zhuravleva', 'Ivan Trushin', 'Maksim Saprykin', 'Alya Mayer', 'Evgeniya Loza', 'Pavel Kuzmin', 'Alexandra Tikhonova', 'Margarita Dyachenkova', 'Anton Solomatin']",['Mikhail Vaynberg'],134,2026-03-26,7.1,120,91.1852,/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,/1x9e0qWonw634NhIsRdvnneeqvN.jpg,ru
299536,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","['Adventure', 'Action', 'Science Fiction']","['sacrifice', 'magic', 'superhero', 'based on comic', 'space', 'battlefield', 'genocide', 'magical object', 'super power', 'superhero team', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'cosmic']","['Robert Downey Jr.', 'Chris Evans', 'Chris Hemsworth', 'Josh Brolin', 'Mark Ruffalo', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman']","['Joe Russo', 'Anthony Russo']",149,2018-04-25,8.2,32538,92.3035,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,en
82023,Hotel Desire,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass.","['Drama', 'Romance']","['hotel', 'sexuality', 'kiss', 'maid', 'single mother', 'softcore', 'blind man', 'caress', 'short film']","['Saralisa Volm', 'Clemens Schick', 'Jan-Gregor Kremp', 'Herbert Knaup', 'Palina Rojinski', 'Frederick Lau', 'Trystan Pütter', 'Carlo Ljubek', 'Liroy Gehrke', 'Petar Knezevic']",['Sergej Moya'],38,2011-12-07,6.186,153,98.6777,/47XRWH95ATv4szxdWHl723guWXP.jpg,/wcUohmHc9oDZXarXDp905TYVui4.jpg,de
1127384,Deep Water,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,"['Horror', 'Thriller']","['deep sea', 'shark']","['Aaron Eckhart', 'Ben Kingsley', 'Molly Belle Wright', 'Angus Sampson', 'Elijah Tamati', 'Zhao Simei', 'Li Wenhan', 'Nashi', 'Richard Crouchley', 'Madeleine West']",['Renny Harlin'],107,2026-04-30,7.165,381,85.5693,/kjcuS7xaRyqRjVaVcH4t0qHshuX.jpg,/szKv713FcUXx6hcfdY369vtkmzr.jpg,en
102382,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","['Action', 'Adventure', 'Science Fiction']","['new york city', 'experiment', 'obsession', 'secret identity', 'superhero', 'based on comic', 'sequel', 'electrocution', 'super power', 'masked superhero', 'teen superhero', 'disapproving']","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Colm Feore', 'Felicity Jones', 'Paul Giamatti', 'Sally Field', 'Embeth Davidtz', 'Campbell Scott']",['Marc Webb'],141,2014-04-16,6.553,14542,83.2844,/dGjoPttcbKR5VWg1jQuNFB247KL.jpg,/k0hlAzTryCYX1O1LyC6P8tAa8s0.jpg,en
931285,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.","['Action', 'Fantasy', 'Adventure']","['martial arts', 'magic', 'ninja fighter', 'gore', 'sequel', 'god', 'alternate dimension', 'ninja', 'fighting', 'based on video game', 'martial arts tournament', 'struggling actor', 'hand to hand combat', 'aggressive', 'amused']","['Karl Urban', 'Adeline Rudolph', 'Ludi Lin', 'Jessica McNamee', 'Josh Lawson', 'Martyn Ford', 'Mehcad Brooks', 'Tati Gabrielle', 'Lewis Tan', 'Max Huang']",['Simon McQuoid'],116,2026-05-06,7.885,2344,82.418,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,/4EAAwpylq313qrDqpCxulUrXBNF.jpg,en
