id,title,overview,genres,keywords,cast,director,runtime,release_date,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language,media_type
297802,Aquaman,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.","['Action', 'Adventure', 'Fantasy']","['hero', 'chase', 'atlantis', 'superhero', 'half-brother', 'based on comic', 'royalty', 'underwater', 'duringcreditsstinger', 'quest', 'dc extended universe (dceu)', 'advanced civilization', 'two worlds', 'amused']","['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Nicole Kidman', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Temuera Morrison', 'Ludi Lin', 'Michael Beach']",['James Wan'],143,2018-12-07,6.866,15087,31.4304,/ufl63EFcc5XpByEV2Ecdw6WJZAI.jpg,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,en,movie
791373,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","['Action', 'Adventure', 'Fantasy']","['saving the world', 'superhero', 'resurrection', 'based on comic', 'superhero team', 'planet invasion', 'action hero', 'dc extended universe (dceu)', 'superhero teamup', 'teamwork']","['Ben Affleck', 'Henry Cavill', 'Gal Gadot', 'Ray Fisher', 'Jason Momoa', 'Ezra Miller', 'Ciarán Hinds', 'Amy Adams', 'Willem Dafoe', 'Jeremy Irons']",['Zack Snyder'],242,2021-03-18,8.08,11016,19.3175,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,/13Nz8EchKRdCgJcKdEoJAnpiVn2.jpg,en,movie
441168,From Straight A's to XXX,"When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.","['Drama', 'TV Movie']","['adult filmmaking', 'witty', 'appreciative', 'compassionate', 'empathetic']","['Haley Pullos', 'Sasha Clements', 'Judd Nelson', 'Alyson Bath', 'Jacky Lai', 'Jessica Lu', 'Rachelle Gillis', 'Sarah Porchetta', 'Imali Perera', 'Peter Graham-Gaudreau']",['Vanessa Parise'],87,2017-02-11,5.919,167,58.0868,/58BDtcDZG0ehZClEMwKampH4oX1.jpg,/8gBOpyW6iTDGZJR93YuF3L7dDuI.jpg,en,movie
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","['Animation', 'Adventure', 'Comedy', 'Mystery', 'Family']","['snake', 'bunny', 'fox', 'cop', 'sequel', 'anthropomorphism', 'animals', 'displacement', 'buddy cop', 'buddy comedy', 'complex', 'playful', 'talking animal', '3d animation', 'embarrassed', 'excited']","['Ginnifer Goodwin', 'Jason Bateman', 'Ke Huy Quan', 'Fortune Feimster', 'Andy Samberg', 'David Strathairn', 'Idris Elba', 'Shakira', 'Patrick Warburton', 'Quinta Brunson']","['Jared Bush', 'Byron Howard']",108,2025-11-26,7.685,3244,85.4169,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,/lgotja3xMoJZbynwHfcQcJAEMWH.jpg,en,movie
744275,After We Fell,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.","['Drama', 'Romance']","['based on novel or book', 'family history', 'sequel', 'love', 'teenage crush', 'woman director', 'family tension', 'zealous', 'mischievous', 'enraged']","['Josephine Langford', 'Hero Fiennes Tiffin', 'Carter Jenkins', 'Louise Lombard', 'Chance Perdomo', 'Rob Estes', 'Arielle Kebbel', 'Stephen Moyer', 'Mira Sorvino', 'Frances Turner']",['Castille Landon'],99,2021-09-01,6.997,2768,25.7883,/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,/mxdiaM2tsx8M6W3zLgiPwAkhQfq.jpg,en,movie
1084244,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.","['Animation', 'Family', 'Comedy', 'Adventure']","['farm', 'island', 'pig', 'horse', 'rescue mission', 'rivalry', 'sequel', 'love', 'stranded', 'wedding', 'tire swing', 'walkie talkie', 'cowgirl', 'cowboy', 'buddy comedy', 'duringcreditsstinger', 'toy comes to life', 'hippo', 'abandonment', 'toilet paper', 'replacement', 'toy', 'frog', '3d animation', 'tablet', 'ipad', 'adoring']","['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Greta Lee', ""Conan O'Brien"", 'Craig Robinson', 'Shelby Rabara', 'Tony Hale', 'Scarlett Spears', 'Jay Hernandez']",['Andrew Stanton'],102,2026-06-17,7.418,813,276.347,/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,/8sSKdEmlmqF4kJUd28SqthXC4yZ.jpg,en,movie
855,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.","['Action', 'War', 'History']","['based on novel or book', 'ambush', 'chaos', 'militia', 'prisoner of war', 'wound', 'somalia', 'warlord', 'famine', 'arms dealer', 'based on true story', 'delta force', 'gunfight', 'combat', 'us military', '1990s', 'helicopter crash', 'mogadishu', 'rescue operation', 'peacekeeper', 'soldiers', 'street shootout']","['Josh Hartnett', 'Eric Bana', 'Ewan McGregor', 'Tom Sizemore', 'William Fichtner', 'Sam Shepard', 'Jason Isaacs', 'Ewen Bremner', 'Orlando Bloom', 'Tom Hardy']",['Ridley Scott'],145,2001-12-28,7.397,6489,19.616,/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg,/7jaNOECZG8uS1tlq69HsY5xY8P9.jpg,en,movie
1413976,Citizen Vigilante,"A man takes justice into his own hands, hunting down criminals. His vigilante crusade makes him a social media star but puts him at odds with the local police chief.","['Thriller', 'Action', 'Crime']","['rape', 'corruption', 'police', 'immigration', 'rape victim', 'murder', 'vigilante', 'justice', 'news report', 'vigilantism', 'loving', 'vigilante justice', 'bar', 'inspirational', 'business owner', 'nonlinear narrative', 'exuberant', 'hopeful', 'instructive', 'optimistic', 'sincere', 'anonymous', 'interpol agent', 'graphic violence', 'viral sensation', 'righteous kill', 'anti woke']","['Armie Hammer', 'Costas Mandylor', 'Désirée Giorgetti', 'Steffen Mennekes', 'Neb Chupin', 'Mukit Abdul Hamid', 'Fares Mongi', 'Hila Harush', 'Helen Al-Janabi', 'Dora Dimić Rakar']",['Uwe Boll'],89,2026-06-19,6.268,310,45.1268,/6LmJD3Wohe0g4U62wgi7RyJqfE4.jpg,/qJ2KSHJhlFvASBMLbGuP7OFMaFg.jpg,en,movie
269149,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.","['Animation', 'Adventure', 'Family', 'Comedy']","['sheep', 'allegory', 'lion', 'hippopotamus', 'cartoon', 'villain', 'bullying', 'polar bear', 'con artist', 'anthropomorphism', 'revenge', 'conspiracy', 'urban', 'female protagonist', 'animals', 'rookie cop', 'missing person', 'fable', 'racial prejudice', 'injustice', 'reconciliation', 'female villain', 'buddy cop', 'stereotype', 'aftercreditsstinger', 'cartoon rabbit', 'villain arrested', 'discrimination', 'cartoon bear', 'thoughtful', 'cartoon animal', '3d animation', 'cartoon fox', 'joyous', 'cartoon elephant', 'cheerful', 'joyful']","['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate', 'Nate Torrence', 'Bonnie Hunt', 'Don Lake', 'Tommy Chong', 'J.K. Simmons', 'Octavia Spencer']","['Byron Howard', 'Rich Moore']",109,2016-02-11,7.765,18380,27.1838,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,/9tOkjBEiiGcaClgJFtwocStZvIT.jpg,en,movie
862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","['Family', 'Comedy', 'Animation', 'Adventure']","['rescue', 'friendship', 'mission', 'jealousy', 'villain', 'bullying', 'elementary school', 'rivalry', 'anthropomorphism', 'friends', 'computer animation', 'buddy', 'walkie talkie', 'toy car', 'nostalgic', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness', 'toy', '3d animation', 'joyous', 'amused', 'comforting', 'pixar']","['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf']",['John Lasseter'],81,1995-11-22,8.0,20304,41.0572,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,en,movie
