id,title,overview,genres,keywords,cast,director,runtime,release_date,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language,media_type,number_of_seasons,number_of_episodes
1380291,Tom Clancy's Jack Ryan: Ghost War,"Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.","['Action', 'Thriller']","['based on novel or book', 'sequel', 'jack ryan', 'based on tv series', 'suspense', 'absurd']","['John Krasinski', 'Wendell Pierce', 'Sienna Miller', 'Michael Kelly', 'Max Beesley', 'Betty Gabriel', 'JJ Feild', 'Douglas Hodge', 'Dominic Mafham', 'Alex Brockdorff']",['Andrew Bernstein'],107.0,2026-05-20,6.955,729,33.9659,/8ehYxUh5MWE41AeE9gkHE8DKzvB.jpg,/dd31qJxOarrHyGZwYsCzOjobQzP.jpg,en,movie,,
1564614,Leviticus,Two teenage boys must escape a violent entity that takes the form of the person they desire most:  each other.,"['Horror', 'Romance']","['supernatural', 'priest', 'teenage boy', 'lgbt', 'lgbt teen', 'shocking', 'candid', 'conversion therapy', 'queer', 'supernatural horror', 'gay theme', 'queer horror', 'psychological', 'independent film', 'psychological horror', 'teen horror', 'informative']","['Joe Bird', 'Stacy Clausen', 'Mia Wasikowska', 'Nicholas Hope', 'Tyallah Bullock', 'Ewen Leslie', 'Jeremy Blewitt', 'Davida McKenzie', 'Shannon Berry', 'Julia Grace']",['Adrian Chiarella'],88.0,2026-06-17,6.726,286,126.6507,/gnAsZvBygplNpp8PtjoTEYv3VPB.jpg,/7y8zWGEjs7tresw4Hzkkf4TdkcL.jpg,en,movie,,
1284041,The Last House,A family suddenly sealed inside their home must work together to survive against dwindling resources and the ominous threat keeping them trapped.,"['Horror', 'Science Fiction', 'Thriller']","['monster', 'water monster', 'sea creature', 'cautionary', 'baffled', 'excited', 'dangerous rain']","['Greta Lee', 'Wagner Moura', 'Riley Chung', 'Noah Alexander Sosnowski', 'Emma Ho', 'Gabriel Barbosa', 'Arden Cho', 'Audrey Anderson', 'Sid Edwards', 'Eveline Reynolds-Boison']",['Louis Leterrier'],110.0,2026-08-06,6.871,520,388.6318,/6JU7E8Vv2M11egkctWVOScxWR75.jpg,/2mPmccLg8QCD4ZF6v8kSsUijPPW.jpg,en,movie,,
1265609,War Machine,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.","['Action', 'Science Fiction', 'Thriller']","['struggle for survival', 'military training', 'afghanistan veteran', 'grim', 'alien hunters', 'alien arrival', 'military sci-fi', 'u.s. army ranger', 'extraterrestrial threat', 'special forces training', 'firefights', 'hostile encounter', 'high‑intensity conflict', 'gore elements', 'veteran soldier', 'remote outpost']","['Alan Ritchson', 'Dennis Quaid', 'Stephan James', 'Jai Courtney', 'Esai Morales', 'Blake Richardson', 'Keiynan Lonsdale', 'Jack Patten', 'Joshua Diaz', 'Heather Burridge']",['Patrick Hughes'],110.0,2026-02-12,7.441,2271,40.3497,/rFhKkXhk7ClU03jQ5rHIApJDwev.jpg,/6yeVcxFR0j08vlv2OlL6zbewm4D.jpg,en,movie,,
530385,Midsommar,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.","['Horror', 'Drama', 'Mystery']","['loss of loved one', 'ritual', 'paranoia', 'sweden', 'cult', 'hallucinogenic drug', 'magic mushroom', 'anthropology', 'human sacrifice', 'paganism', 'death of family', 'boyfriend girlfriend relationship', 'grieving', 'midsummer', 'cultural conflict', 'bad trip', 'folk horror', 'psychological disorders', 'toxic relationship', 'midnight sun', 'isolated community', 'summer festival', 'traumatized woman', 'violence']","['Florence Pugh', 'Jack Reynor', 'William Jackson Harper', 'Will Poulter', 'Vilhelm Blomgren', 'Isabelle Grill', 'Gunnel Fred', 'Ellora Torchia', 'Archie Madekwe', 'Henrik Norlén']",['Ari Aster'],147.0,2019-07-03,7.145,8291,22.3238,/7LEI8ulZzO5gy9Ww2NVCrKmHeDZ.jpg,/pYgj8e2Y6RufnSyOA6OnzmxFXxZ.jpg,en,movie,,
10195,Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.","['Adventure', 'Fantasy', 'Action']","['new mexico', 'superhero', 'redemption', 'banishment', 'based on comic', 'brother against brother', 'norse mythology', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'worlds collide', 'god of thunder', 'fantasy']","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Kat Dennings', 'Clark Gregg', 'Colm Feore', 'Idris Elba', 'Ray Stevenson']",['Kenneth Branagh'],115.0,2011-04-21,6.771,22615,35.4335,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,/cDJ61O1STtbWNBwefuqVrRe3d7l.jpg,en,movie,,
270303,It Follows,A young woman is followed by an unknown supernatural force after a sexual encounter.,"['Horror', 'Mystery']","['beach', 'chase', 'supernatural', 'friends', 'vision', 'teenage girl', 'school', 'detroit, michigan', 'entity', 'evil', 'voyeurism', 'sexually transmitted disease', 'young adult', 'followed', 'nudity', 'ambiguity', 'psychological horror', 'pastiche', 'suspenseful', 'horrified']","['Maika Monroe', 'Keir Gilchrist', 'Daniel Zovatto', 'Jake Weary', 'Olivia Luccardi', 'Lili Sepe', 'Bailey Spry', 'Carollette Phillips', 'Loren Bass', 'Charles Gertner']",['David Robert Mitchell'],101.0,2015-02-04,6.579,7059,19.6257,/iwnQ1JH1wdWrGYkgWySptJ5284A.jpg,/ikaRI4yMxKOje5SmOlAhOBUnicL.jpg,en,movie,,
1613798,Vengeance,"The brutal murder of the wife of “Toro,” a military hero in the special forces, turns him into a man with a single purpose: revenge. After a stroke of fate makes him a millionaire, Carlos transforms his fortune into an arsenal and, together with his closest soldiers, sets out to hunt down those responsible.","['Action', 'Thriller']","['revenge', 'betrayal', 'manhunt', 'vengeance', 'action thriller', 'revenge mission', 'relentless pursuit', 'corrupt officials', 'deadly confrontation', 'dark secrets', 'redemption quest', 'ruthless enemies', 'personal justice', 'violent retaliation', 'innocent victim']","['Omar Chaparro', 'Alejandro Speitzer', 'Paola Nuñez', 'Natalia Solián', 'Luis Alberti', 'Iazua Larios', 'Lizeth Selene', 'Gustavo Sánchez Parra', 'Vasil Simeonov', 'Manuel Cruz Vivas']",['Rodrigo Valdes'],103.0,2026-02-26,7.483,292,29.1989,/ygWXPL0RS91JyJPNOfK34eV3bRE.jpg,/xyW8rJO3rwG2EGcTO6eaUEa8b9d.jpg,es,movie,,
102382,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","['Action', 'Adventure', 'Science Fiction']","['new york city', 'experiment', 'obsession', 'secret identity', 'superhero', 'based on comic', 'sequel', 'electrocution', 'super power', 'masked superhero', 'teen superhero', 'disapproving']","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Colm Feore', 'Felicity Jones', 'Paul Giamatti', 'Sally Field', 'Embeth Davidtz', 'Campbell Scott']",['Marc Webb'],141.0,2014-04-16,6.553,14542,83.2844,/dGjoPttcbKR5VWg1jQuNFB247KL.jpg,/k0hlAzTryCYX1O1LyC6P8tAa8s0.jpg,en,movie,,
454639,Masters of the Universe,"After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe.","['Action', 'Fantasy', 'Science Fiction']","['skeleton', 'superhero', 'nostalgia', 'alien planet', 'based on toy', 'super power', 'reboot', 'aftercreditsstinger', 'duringcreditsstinger', 'warrior', 'sword and planet', 'father son conflict', 'sword and sorcery', 'father daughter relationship', 'loving', 'based on tv series', 'inspirational', 'instructive']","['Nicholas Galitzine', 'Camila Mendes', 'Idris Elba', 'Jared Leto', 'Alison Brie', 'Jóhannes Haukur Jóhannesson', 'Jon Xue Zhang', 'Sam C. Wilson', 'James Purefoy', 'Charlotte Riley']",['Travis Knight'],141.0,2026-06-03,7.2,1760,132.2667,/oRuyGUHdoaQxWP3SDfafGkStxTC.jpg,/yQIdU11DYQQp0neGtGtGxbGfRer.jpg,en,movie,,
